Symbol,OrderID,Side,Price,Qty.ExecID
AMZN,algo20220921193552,1,133.47,7928,exec20220921193556
CSCO,algo20220921193612,1,233.73,4062,exec20220921193614
TSLA,algo20220921193618,2,503.77,8754,exec20220921193620
TXN,algo20220921193620,2,112.46,9523,exec20220921193623
AVGO,algo20220921193623,1,262.99,2427,exec20220921193624
GILD,algo20220921193624,2,82.91,15166,exec20220921193626
BAC,algo20220921193636,2,22.03,10608,exec20220921193638
DDD,algo20220921193638,1,8.01,21956,exec20220921193639
WUBA,algo20220921193644,1,51.41,2252,exec20220921193646
AOS,algo20220921193652,2,40.38,3552,exec20220921193653
ABB,algo20220921193659,1,17.42,5897,exec20220921193701
ABBV,algo20220921193704,1,83.60,1593,exec20220921193707
ANF,algo20220921193707,2,9.10,3164,exec20220921193708
ABM,algo20220921193708,1,31.64,10997,exec20220921193709
PEP,algo20220921193712,2,45.43,6612,exec20220921193713
